,product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,revenue,profit,margin,price_ratio_1,price_ratio_2,price_ratio_3,price_diff_1,price_diff_2,price_diff_3,customer_score_ratio,customer_photo_ratio,description_length_ratio,is_weekend,is_holiday
0,bed1,bed_bath_table,05-01-2017,1,45.95,15.1,45.95,39,161,2,350,4,57,23,8,1,1,2017,10.26739356,3800,89.9,3.9,15.01189655,215,4.4,8.76,45.95,4,15.1,,45.95,30.85,67.13819369,0.511123471,0.21372093,1,-43.95,-169.05,0,14.25,28.5,4.128205128,1,1
1,bed1,bed_bath_table,06-01-2017,3,137.85,12.93333333,45.95,39,161,2,350,4,61,22,8,1,1,2017,6.503115265,3800,89.9,3.9,14.76921569,209,4.4,21.322,45.95,4,12.93333333,45.95,413.55,400.6166667,96.8726071,0.511123471,0.219856459,1,-43.95,-163.05,0,15.25,30.5,4.128205128,1,1
2,bed1,bed_bath_table,07-01-2017,6,275.7,14.84,45.95,39,161,2,350,4,123,21,10,1,1,2017,12.07165109,3800,89.9,3.9,13.99383333,205,4.4,22.1959322,45.95,4,14.84,137.85,1654.2,1639.36,99.10288961,0.511123471,0.224146341,1,-43.95,-159.05,0,30.75,61.5,4.128205128,1,1
3,bed1,bed_bath_table,08-01-2017,4,183.8,14.2875,45.95,39,161,2,350,4,90,23,8,1,1,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4,14.2875,275.7,735.2,720.9125,98.05665125,0.511123471,0.230314496,1,-43.95,-153.5598039,0,22.5,45,4.128205128,1,1
4,bed1,bed_bath_table,09-01-2017,2,91.9,15.1,45.95,39,161,2,350,4,54,21,9,1,1,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4,15.1,183.8,183.8,168.7,91.78454842,0.511123471,0.281213971,1,-43.95,-117.4487097,0,13.5,27,4.128205128,1,1
5,bed1,bed_bath_table,10-01-2017,3,137.85,15.1,45.95,39,161,2,350,4,50,22,9,2,1,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4,15.1,45.95,4,15.1,91.9,413.55,398.45,96.34868819,0.511123471,1,1,-43.95,0,0,12.5,25,4.128205128,1,2
6,bed1,bed_bath_table,11-01-2017,11,445.85,15.83272727,40.53181818,39,161,2,350,4,97,22,8,4,1,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4,15.83272727,40.53181818,4,15.83272727,137.85,4904.35,4888.517273,99.67716971,0.450854485,1,1,-49.36818182,0,0,24.25,48.5,4.128205128,1,4
7,bed1,bed_bath_table,12-01-2017,6,239.94,15.23,39.99,39,161,2,350,4,41,21,10,1,1,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4,15.23,39.99,4,15.23,445.85,1439.64,1424.41,98.94209664,0.451924483,1,1,-48.49823529,0,0,10.25,20.5,4.128205128,1,1
8,bed1,bed_bath_table,01-01-2018,19,759.81,16.53368421,39.99,39,161,2,350,4,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4,16.53368421,39.99,4,16.53368421,239.94,14436.39,14419.85632,99.88547217,0.46018412,1,1,-46.91,0,0,15.5,31,4.128205128,1,2
9,bed1,bed_bath_table,02-01-2018,18,719.82,13.74944444,39.99,39,161,2,350,4,62,20,8,2,1,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4,13.74944444,39.99,4,13.74944444,759.81,12956.76,12943.01056,99.89388208,0.46018412,1,1,-46.91,0,0,15.5,31,4.128205128,1,2
